{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 60
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  10.317699108,    0.1000000000,   -0.0172810939
  11.048144957,    0.1000000000,   -0.0345621878
  12.047103309,    0.1000000000,   -0.0499651665
  13.098011982,    0.1000000000,   -0.0624564581
  14.73471263,    0.1000000000,   -0.0782435590
  15.921487967,    0.1000000000,   -0.0880240039
  17.544658868,    0.1000000000,   -0.0999303330
  20.891574923,    0.1000000000,   -0.1209676574
  24.098501104,    0.1000000000,   -0.1382487513
  27.770644013,    0.1000000000,   -0.1555298453
  30.172880948,    0.1000000000,   -0.1662675629
  33.444028831,    0.1000000000,   -0.1802689719
  35.162917269,    0.1000000000,   -0.1873693744
  38.284894759,    0.1000000000,   -0.1998606660
  41.209067445,    0.1000000000,   -0.2096429194
  46.684782825,    0.1000000000,   -0.2269481086
  50.174852636,    0.1000000000,   -0.2373867911
  54.542398652,    0.1000000000,   -0.2498954995
  59.112057523,    0.1000000000,   -0.2624042079
  62.461116134,    0.1000000000,   -0.2712383959
  68.857713834,    0.1000000000,   -0.2874216246
  74.033711273,    0.1000000000,   -0.2999303330
  79.411821568,    0.1000000000,   -0.3124390414
  84.992044718,    0.1000000000,   -0.3249477498
  89.912422917,    0.1000000000,   -0.3356191979
  96.758827152,    0.1000000000,   -0.3499651665
  102.94538892,    0.1000000000,   -0.3624738749
  113.3737126,    0.1000000000,   -0.3826948109
  122.71775136,    0.1000000000,   -0.4000000000
  122.71775136,    0.1000000000,   -0.4000000000
  130.59890519,    0.1000000000,   -0.4145233167
  139.2015123,    0.1000000000,   -0.4290466334
  147.00973755,    0.1000000000,   -0.4412834008
  153.993584,    0.1000000000,   -0.4516042510
  168.35945486,    0.1000000000,   -0.4713357150
  177.13116039,    0.1000000000,   -0.4825668016
  182.8619252,    0.1000000000,   -0.4896218266
  193.0363237,    0.1000000000,   -0.5016632169
  205.96764348,    0.1000000000,   -0.5161865337
  219.6204158,    0.1000000000,   -0.5307098504
  233.99463386,    0.1000000000,   -0.5452331671
  249.09031033,    0.1000000000,   -0.5597564838
  264.90743935,    0.1000000000,   -0.5742798005
  274.01987472,    0.1000000000,   -0.5823600504
  284.57078109,    0.1000000000,   -0.5914780529
  298.70604445,    0.1000000000,   -0.6033264339
  306.52578466,    0.1000000000,   -0.6097140580
  316.68753018,    0.1000000000,   -0.6178497506
  329.61819716,    0.1000000000,   -0.6279500630
  379.54540654,    0.1000000000,   -0.6483468579
  408.67199632,    0.1000000000,   -0.6588412784
  468.5046877,    0.1000000000,   -0.6802944392
  513.30903076,    0.1000000000,   -0.6962682298
  558.52007006,    0.1000000000,   -0.7123093592
  599.15094958,    0.1000000000,   -0.7266597787
  625.03189503,    0.1000000000,   -0.7385872850
  653.69271122,    0.1000000000,   -0.7494560479
  687.19492265,    0.1000000000,   -0.7603248107
  729.53238492,    0.1000000000,   -0.7722523171
  768.72353122,    0.1000000000,   -0.7820623364
  816.74992836,    0.1000000000,   -0.7929310993
  869.61772074,    0.1000000000,   -0.8037998621
  933.20716386,    0.1000000000,   -0.8157273685
  1037.0745521,    0.1000000000,   -0.8332299200
  1183.5530467,    0.1000000000,   -0.8549674457
  1444.4850634,    0.1000000000,   -0.8809399455
  1689.2897469,    0.1000000000,   -0.9026774712
  1848.1964894,    0.1000000000,   -0.9157574969
  2034.4311681,    0.1000000000,   -0.9302491807
  2251.1210667,    0.1000000000,   -0.9461525226
  2806.3068811,    0.1000000000,   -0.9622863620
  3348.2056288,    0.1000000000,   -0.9801614414
  3761.6315784,    0.1000000000,   -0.9959002054
  4155.9903395,    0.1000000000,   -1.0136344469
  4512.1767922,    0.1000000000,   -1.0337866798
  4746.2599363,    0.1000000000,   -1.0516617593
  5092.6291113,    0.1000000000,   -1.0640972977
  5386.6783718,    0.1000000000,   -1.0749647925
  5672.6643181,    0.1000000000,   -1.0858322873
  5990.0219532,    0.1000000000,   -1.0982678258
  6220.4462683,    0.1000000000,   -1.1075672769
  6482.2422722,    0.1000000000,   -1.1184347717
  6735.9749619,    0.1000000000,   -1.1293022665
  7416.1708686,    0.1000000000,   -1.1603367071
  7792.2988546,    0.1000000000,   -1.1789356093
  8258.3624453,    0.1000000000,   -1.2038066863
  8631.0783487,    0.1000000000,   -1.2255416758
  8829.8195807,    0.1000000000,   -1.2379772143
  8994.8558147,    0.1000000000,   -1.2488447091
  9151.8287346,    0.1000000000,   -1.2597122039
  9321.5584266,    0.1000000000,   -1.2721477424
  9413.7308708,    0.1000000000,   -1.2859328400
  9497.3575365,    0.1000000000,   -1.3020423366
  9548.6903673,    0.1000000000,   -1.3159555985
  9581.7391378,    0.1000000000,   -1.3305582172
  9592.474847,    0.1000000000,   -1.3503708266
  9572.2597527,    0.1000000000,   -1.3664803232
  9576.0544531,    0.1000000000,   -1.3714179068
  9583.3469496,    0.1000000000,   -1.3805611905
  9594.3083578,    0.1000000000,   -1.3935602246
  9605.1781364,    0.1000000000,   -1.4057037408
  9615.9655363,    0.1000000000,   -1.4171343254
  9634.3440167,    0.1000000000,   -1.4354208929
  9654.1019553,    0.1000000000,   -1.4537074604
  9671.2652526,    0.1000000000,   -1.4686451818
  9688.9237721,    0.1000000000,   -1.4832401616
  9697.7562065,    0.1000000000,   -1.4902805953
  9707.4610298,    0.1000000000,   -1.4978351414
  9726.8769899,    0.1000000000,   -1.5124301212
  9734.1179489,    0.1000000000,   -1.5177104464
  9746.9282901,    0.1000000000,   -1.5268537302
  9760.0834472,    0.1000000000,   -1.5359970139
  9782.4838694,    0.1000000000,   -1.5510442110
  9801.6182061,    0.1000000000,   -1.5634268651
  9813.328081,    0.1000000000,   -1.5708100404
  9837.1376723,    0.1000000000,   -1.5854050202
  9861.8259543,    0.1000000000,   -1.6000000000
  9861.8259543,    0.1000000000,   -1.6000000000
  9867.702341,    0.1000000000,   -1.6167852825
  9873.7632383,    0.1000000000,   -1.6335705650
  9878.3953712,    0.1000000000,   -1.6460671233
  9882.754877,    0.1000000000,   -1.6575839042
  9886.4385768,    0.1000000000,   -1.6671411301
  9889.5650961,    0.1000000000,   -1.6751336252
  9892.270152,    0.1000000000,   -1.6819639547
  9897.7719203,    0.1000000000,   -1.6956246139
  9903.2007131,    0.1000000000,   -1.7088160806
  9909.1420872,    0.1000000000,   -1.7229459321
  9914.0033687,    0.1000000000,   -1.7342822601
  9921.0010948,    0.1000000000,   -1.7502672503
  9927.1139139,    0.1000000000,   -1.7639279095
  9933.3489431,    0.1000000000,   -1.7775885686
  9939.706183,    0.1000000000,   -1.7912492277
  9943.410565,    0.1000000000,   -1.7990906953
  9948.1711829,    0.1000000000,   -1.8090452301
  9952.7872921,    0.1000000000,   -1.8185705460
  9957.0926259,    0.1000000000,   -1.8316196415
  9961.0206132,    0.1000000000,   -1.8441293446
  9966.9222005,    0.1000000000,   -1.8642257990
  9970.147467,    0.1000000000,   -1.8760060749
  9974.7808668,    0.1000000000,   -1.8941681571
  9977.7329985,    0.1000000000,   -1.9066778602
  9981.7249519,    0.1000000000,   -1.9250994697
  9984.8040449,    0.1000000000,   -1.9408972730
  9987.7102625,    0.1000000000,   -1.9575758169
  9990.2749134,    0.1000000000,   -1.9742543608
  9991.6567442,    0.1000000000,   -1.9843147736
  9993.673797,    0.1000000000,   -2.0009933175
  9995.9194659,    0.1000000000,   -2.0242899925
  9997.11785,    0.1000000000,   -2.0409685365
  9997.6755553,    0.1000000000,   -2.0510289492
  9998.3263413,    0.1000000000,   -2.0677074932
  9998.7814557,    0.1000000000,   -2.0896540581
  9999.1045633,    0.1000000000,   -2.1087764164
  9999.224353,    0.1000000000,   -2.1166395697
  9999.3826139,    0.1000000000,   -2.1278987748
  9999.5914081,    0.1000000000,   -2.1448488667
  9999.8400389,    0.1000000000,   -2.1704977456
  9999.9581386,    0.1000000000,   -2.1871628121
  10000.031355,    0.1000000000,   -2.2012674606
  10000.080058,    0.1000000000,   -2.2153721091
  10000.100559,    0.1000000000,   -2.2259987118
  10000.103922,    0.1000000000,   -2.2435814061
  10000.079084,    0.1000000000,   -2.2576860546
  9999.9849533,    0.1000000000,   -2.2808776416
  9999.8574875,    0.1000000000,   -2.3000000000
  9999.8574875,    0.1000000000,   -2.3000000000
  9999.8809516,    0.1000000000,   -2.3142362726
  9999.9024478,    0.1000000000,   -2.3284725451
  9999.9193679,    0.1000000000,   -2.3407213067
  9999.9323222,    0.1000000000,   -2.3509016334
  9999.9551288,    0.1000000000,   -2.3711813628
  9999.9651472,    0.1000000000,   -2.3814426135
  9999.9706284,    0.1000000000,   -2.3875542946
  9999.98041,    0.1000000000,   -2.3996539079
  9999.9900988,    0.1000000000,   -2.4138901804
  9999.9978196,    0.1000000000,   -2.4281264530
  10000.003446,    0.1000000000,   -2.4419865058
  10000.007358,    0.1000000000,   -2.4565989981
  10000.009175,    0.1000000000,   -2.4708352706
  10000.009024,    0.1000000000,   -2.4850715432
  10000.006905,    0.1000000000,   -2.4993078157
  10000.002819,    0.1000000000,   -2.5135440883
  9999.9967642,    0.1000000000,   -2.5277803608
  9999.9972903,    0.1000000000,   -2.5419999299
  9999.9979525,    0.1000000000,   -2.5630800382
  9999.9984208,    0.1000000000,   -2.5817115236
  9999.9987686,    0.1000000000,   -2.5996885778
  9999.9988903,    0.1000000000,   -2.6076773101
  9999.9990142,    0.1000000000,   -2.6176656321
  9999.999273,    0.1000000000,   -2.6372521199
  9999.999461,    0.1000000000,   -2.6519611725
  9999.9996833,    0.1000000000,   -2.6721469075
  9999.9999063,    0.1000000000,   -2.6978093249
  10000.000035,    0.1000000000,   -2.7179950599
  10000.000103,    0.1000000000,   -2.7327041125
  10000.00016,    0.1000000000,   -2.7528898475
  10000.000173,    0.1000000000,   -2.7785522649
  10000.000136,    0.1000000000,   -2.7987379998
  10000.000084,    0.1000000000,   -2.8134470524
  9999.9999759,    0.1000000000,   -2.8336327874
  9999.9999384,    0.1000000000,   -2.8513167888
  9999.9999365,    0.1000000000,   -2.8660902740
  9999.9999348,    0.1000000000,   -2.8757314269
  9999.9999325,    0.1000000000,   -2.8873130354
  9999.9999295,    0.1000000000,   -2.9001460649
  9999.9999247,    0.1000000000,   -2.9175225705
  9999.9999225,    0.1000000000,   -2.9245607030
  9999.9999184,    0.1000000000,   -2.9367680220
